Timestamp,drone_x,drone_y,drone_z,payload_x,payload_y,payload_z,round_bar_x,round_bar_y,round_bar_z
1716393793276429403,1491.3262939453125,-41.62125778198242,1310.125732421875,1028.4547119140625,-43.55992889404297,449.09539794921875,0.0,0.0,0.0
1716393793276443091,1490.9932861328125,-41.41335678100586,1311.7215983072917,1028.4547119140625,-43.55992889404297,449.09539794921875,0.0,0.0,0.0
1716393793285767147,1490.6602783203125,-41.2054557800293,1313.3174641927083,1026.6265055338542,-43.19140879313151,451.57472737630206,0.0,0.0,0.0
1716393793285788853,1490.3272705078125,-40.997554779052734,1314.913330078125,1024.7982991536458,-42.822888692220054,454.05405680338544,0.0,0.0,0.0
1716393793285799872,1490.3272705078125,-40.997554779052734,1314.913330078125,1022.9700927734375,-42.454368591308594,456.53338623046875,0.0,0.0,0.0
1716393793285852910,1490.3272705078125,-40.997554779052734,1314.913330078125,1022.9700927734375,-42.454368591308594,456.53338623046875,0.0,0.0,0.0
1716393793285863762,1490.3272705078125,-40.997554779052734,1314.913330078125,1022.9700927734375,-42.454368591308594,456.53338623046875,0.0,0.0,0.0
1716393793285873740,1489.9911295572917,-40.81036249796549,1316.5110677083333,1022.9700927734375,-42.454368591308594,456.53338623046875,0.0,0.0,0.0
1716393793297571178,1489.6549886067708,-40.62317021687826,1318.1088053385417,1021.2943522135416,-42.13355000813802,458.87184651692706,0.0,0.0,0.0
1716393793297605542,1489.31884765625,-40.435977935791016,1319.70654296875,1019.6186116536459,-41.812731424967446,461.21030680338544,0.0,0.0,0.0
1716393793297622224,1489.31884765625,-40.435977935791016,1319.70654296875,1017.94287109375,-41.491912841796875,463.54876708984375,0.0,0.0,0.0
1716393793297701282,1489.31884765625,-40.435977935791016,1319.70654296875,1017.94287109375,-41.491912841796875,463.54876708984375,0.0,0.0,0.0
1716393793297717644,1489.31884765625,-40.435977935791016,1319.70654296875,1017.94287109375,-41.491912841796875,463.54876708984375,0.0,0.0,0.0
1716393793297732897,1488.958251953125,-40.2474110921224,1321.3221028645833,1017.94287109375,-41.491912841796875,463.54876708984375,0.0,0.0,0.0
1716393793306218061,1488.59765625,-40.058844248453774,1322.9376627604167,1016.3004760742188,-41.11830520629883,465.8318277994792,0.0,0.0,0.0
1716393793306248149,1488.237060546875,-39.870277404785156,1324.55322265625,1014.6580810546875,-40.74469757080078,468.11488850911456,0.0,0.0,0.0
1716393793306262046,1488.237060546875,-39.870277404785156,1324.55322265625,1013.0156860351562,-40.371089935302734,470.39794921875,0.0,0.0,0.0
1716393793306328306,1488.237060546875,-39.870277404785156,1324.55322265625,1013.0156860351562,-40.371089935302734,470.39794921875,0.0,0.0,0.0
1716393793306341618,1488.237060546875,-39.870277404785156,1324.55322265625,1013.0156860351562,-40.371089935302734,470.39794921875,0.0,0.0,0.0
1716393793306353831,1487.9097086588542,-39.68017832438151,1326.1658935546875,1013.0156860351562,-40.371089935302734,470.39794921875,0.0,0.0,0.0
1716393793316395515,1487.5823567708333,-39.49007924397787,1327.778564453125,1011.6516520182291,-40.02834955851237,472.5971171061198,0.0,0.0,0.0
1716393793316429390,1487.2550048828125,-39.29998016357422,1329.3912353515625,1010.2876180013021,-39.68560918172201,474.79628499348956,0.0,0.0,0.0
1716393793316446243,1487.2550048828125,-39.29998016357422,1329.3912353515625,1008.923583984375,-39.34286880493164,476.9954528808594,0.0,0.0,0.0
1716393793316525250,1487.2550048828125,-39.29998016357422,1329.3912353515625,1008.923583984375,-39.34286880493164,476.9954528808594,0.0,0.0,0.0
1716393793316541467,1487.2550048828125,-39.29998016357422,1329.3912353515625,1008.923583984375,-39.34286880493164,476.9954528808594,0.0,0.0,0.0
1716393793316555923,1486.8829752604167,-39.07610066731771,1330.9877522786458,1008.923583984375,-39.34286880493164,476.9954528808594,0.0,0.0,0.0
1716393793324908534,1486.5109456380208,-38.852221171061196,1332.5842692057292,1007.7053629557291,-39.053061167399086,479.0602518717448,0.0,0.0,0.0
1716393793324923705,1486.138916015625,-38.62834167480469,1334.1807861328125,1006.4871419270834,-38.76325352986654,481.1250508626302,0.0,0.0,0.0
1716393793324936188,1486.138916015625,-38.62834167480469,1334.1807861328125,1005.2689208984375,-38.473445892333984,483.1898498535156,0.0,0.0,0.0
1716393793324989599,1486.138916015625,-38.62834167480469,1334.1807861328125,1005.2689208984375,-38.473445892333984,483.1898498535156,0.0,0.0,0.0
1716393793325002467,1486.138916015625,-38.62834167480469,1334.1807861328125,1005.2689208984375,-38.473445892333984,483.1898498535156,0.0,0.0,0.0
1716393793325015966,1485.796630859375,-38.45319493611654,1335.790771484375,1005.2689208984375,-38.473445892333984,483.1898498535156,0.0,0.0,0.0
1716393793335577305,1485.454345703125,-38.27804819742838,1337.4007568359375,1004.0774943033854,-38.07435989379883,485.2281901041667,0.0,0.0,0.0
1716393793335604381,1485.112060546875,-38.102901458740234,1339.0107421875,1002.8860677083334,-37.67527389526367,487.2665303548177,0.0,0.0,0.0
1716393793335618068,1485.112060546875,-38.102901458740234,1339.0107421875,1001.6946411132812,-37.276187896728516,489.30487060546875,0.0,0.0,0.0
1716393793335683003,1485.112060546875,-38.102901458740234,1339.0107421875,1001.6946411132812,-37.276187896728516,489.30487060546875,0.0,0.0,0.0
1716393793335696661,1485.112060546875,-38.102901458740234,1339.0107421875,1001.6946411132812,-37.276187896728516,489.30487060546875,0.0,0.0,0.0
1716393793335708891,1484.7146402994792,-37.89780934651693,1340.6080729166667,1001.6946411132812,-37.276187896728516,489.30487060546875,0.0,0.0,0.0
1716393793345617994,1484.3172200520833,-37.69271723429362,1342.2054036458333,1000.8016357421875,-37.00719324747721,491.2656758626302,0.0,0.0,0.0
1716393793345647622,1483.9197998046875,-37.48762512207031,1343.802734375,999.9086303710938,-36.738198598225914,493.2264811197917,0.0,0.0,0.0
1716393793345662805,1483.9197998046875,-37.48762512207031,1343.802734375,999.015625,-36.46920394897461,495.1872863769531,0.0,0.0,0.0
1716393793345733547,1483.9197998046875,-37.48762512207031,1343.802734375,999.015625,-36.46920394897461,495.1872863769531,0.0,0.0,0.0
1716393793345748159,1483.9197998046875,-37.48762512207031,1343.802734375,999.015625,-36.46920394897461,495.1872863769531,0.0,0.0,0.0
1716393793345762272,1483.5173746744792,-37.3162727355957,1345.39501953125,999.015625,-36.46920394897461,495.1872863769531,0.0,0.0,0.0
1716393793355716770,1483.1149495442708,-37.144920349121094,1346.9873046875,998.1738077799479,-36.129599253336586,496.9502258300781,0.0,0.0,0.0
1716393793355744381,1482.7125244140625,-36.973567962646484,1348.57958984375,997.3319905598959,-35.78999455769857,498.7131652832031,0.0,0.0,0.0
1716393793355758278,1482.7125244140625,-36.973567962646484,1348.57958984375,996.4901733398438,-35.45038986206055,500.4761047363281,0.0,0.0,0.0
1716393793355824028,1482.7125244140625,-36.973567962646484,1348.57958984375,996.4901733398438,-35.45038986206055,500.4761047363281,0.0,0.0,0.0
1716393793355837295,1482.7125244140625,-36.973567962646484,1348.57958984375,996.4901733398438,-35.45038986206055,500.4761047363281,0.0,0.0,0.0
1716393793355850148,1482.2996419270833,-36.81045405069987,1350.2111409505208,996.4901733398438,-35.45038986206055,500.4761047363281,0.0,0.0,0.0
1716393793365999938,1481.8867594401042,-36.64734013875326,1351.8426920572917,995.9558919270834,-35.131918589274086,502.2815246582031,0.0,0.0,0.0
1716393793366022735,1481.473876953125,-36.48422622680664,1353.4742431640625,995.4216105143229,-34.81344731648763,504.0869445800781,0.0,0.0,0.0
1716393793366029127,1481.473876953125,-36.48422622680664,1353.4742431640625,994.8873291015625,-34.49497604370117,505.8923645019531,0.0,0.0,0.0
1716393793366087159,1481.473876953125,-36.48422622680664,1353.4742431640625,994.8873291015625,-34.49497604370117,505.8923645019531,0.0,0.0,0.0
1716393793366092477,1481.473876953125,-36.48422622680664,1353.4742431640625,994.8873291015625,-34.49497604370117,505.8923645019531,0.0,0.0,0.0
1716393793366097532,1481.095947265625,-36.326988220214844,1355.1023763020833,994.8873291015625,-34.49497604370117,505.8923645019531,0.0,0.0,0.0
1716393793376084869,1480.718017578125,-36.16975021362305,1356.7305094401042,994.4289347330729,-34.15013631184896,507.5694580078125,0.0,0.0,0.0
1716393793376107174,1480.340087890625,-36.01251220703125,1358.358642578125,993.9705403645834,-33.80529657999674,509.2465515136719,0.0,0.0,0.0
1716393793376113232,1480.340087890625,-36.01251220703125,1358.358642578125,993.5121459960938,-33.46045684814453,510.92364501953125,0.0,0.0,0.0
1716393793376167872,1480.340087890625,-36.01251220703125,1358.358642578125,993.5121459960938,-33.46045684814453,510.92364501953125,0.0,0.0,0.0
1716393793376172887,1480.340087890625,-36.01251220703125,1358.358642578125,993.5121459960938,-33.46045684814453,510.92364501953125,0.0,0.0,0.0
1716393793376178470,1479.9103190104167,-35.789068857828774,1359.981201171875,993.5121459960938,-33.46045684814453,510.92364501953125,0.0,0.0,0.0
