timestep,x,y,z,roll,pitch,yaw
39.0,1.4933662876498466,-1.3048968469311953e-07,3.617002749051633,-2.913045812007643e-05,-0.1095807750418522,8.068334553124023e-07
40.0,1.4843754373861984,1.3299589969049982e-07,3.612727788978737,-2.5347935572896125e-05,-0.11149746998899476,9.166633534483879e-07
41.0,1.4753853671308585,2.218388782905629e-07,3.6084532993954097,-1.9825765355965166e-05,-0.11336820301190026,1.0135906736379698e-06
42.0,1.4663957388526057,8.175923929717994e-08,3.604181685061445,-1.8080956341095517e-05,-0.11521652466008489,1.0536576776672778e-06
43.0,1.4574077253145503,-1.4295425126497502e-07,3.599907455333646,-2.18128103605047e-05,-0.11706739026129222,1.047389886543726e-06
44.0,1.4484204311507431,-2.533810554286823e-07,3.595631410535188,-2.7894675768789455e-05,-0.11892494110858301,1.0440276368503122e-06
45.0,1.4394317611000977,-1.6158843044480337e-07,3.59135740995001,-3.138132181843971e-05,-0.12076309724480304,1.0858734846969667e-06
46.0,1.4304428925265191,3.2596167574910954e-08,3.587082399201155,-3.0074166298900778e-05,-0.12257892081871741,1.172186424614707e-06
47.0,1.421454556595938,1.4802981374546135e-07,3.582808148859487,-2.6203849354534397e-05,-0.12439288778554275,1.2648127838059138e-06
48.0,1.4124666244121376,9.004355113826828e-08,3.578536247637514,-2.405853191500701e-05,-0.12622237636340702,1.3247950982407156e-06
49.0,1.4034799671477638,-6.110771162334845e-08,3.5742613302815744,-2.5659296650850087e-05,-0.12807884988757517,1.3504047611200437e-06
50.0,1.3941519157172781,-1.528837390224701e-07,3.5712377720511617,-2.9226145049675085e-05,-0.13017032159306938,1.3793420903906339e-06
51.0,1.3848125131363138,-2.9529854400186427e-08,3.568252413239545,-2.9444458411078595e-05,-0.13236194852531266,1.4532930858578001e-06
52.0,1.3754680117674243,2.1247259438681256e-07,3.565273203933692,-2.3811956356690353e-05,-0.13457404465514403,1.5658851776476721e-06
53.0,1.3661218824992607,2.598172841962712e-07,3.5622960169178586,-1.7482157996221066e-05,-0.13679077533538406,1.6515004061316268e-06
54.0,1.3567769193079329,-1.7393411887331702e-08,3.5593255851669143,-1.8294770897320146e-05,-0.1390635033126278,1.6734625461658897e-06
55.0,1.3474348868229067,-3.004223837104055e-07,3.5563564622932198,-2.5699122018635412e-05,-0.14146322676037357,1.67915570106945e-06
56.0,1.3380906954758025,-1.5242220115113315e-07,3.5533901881367775,-2.8751666884112355e-05,-0.14393623255905583,1.7413639680926172e-06
57.0,1.3287412187478518,3.610791066553768e-07,3.55042229191184,-1.9110077066319785e-05,-0.1463466195638006,1.8557884951661647e-06
58.0,1.3193902038477237,6.572430552027989e-07,3.547448512977494,-3.06616222155956e-06,-0.1486423766997277,1.941716576554639e-06
59.0,1.3100383030304712,2.719731456285449e-07,3.544485250036366,2.544949437429413e-06,-0.15084602619032791,1.933285959062817e-06
60.0,1.3006914174377546,-4.387505736673769e-07,3.541525845846979,-9.075148428537885e-06,-0.15309900460089282,1.868112197165053e-06
61.0,1.2913511634443235,-7.099254853083077e-07,3.5385620103119586,-2.610769688680778e-05,-0.15553588799028775,1.8501659822866592e-06
62.0,1.2820077859808978,-1.9302951065901342e-07,3.5356006331565593,-2.9467943059452023e-05,-0.15807616799890128,1.9373548362001966e-06
63.0,1.2726610451529339,5.873216778254894e-07,3.532631212670244,-1.4096041373338034e-05,-0.16060934654488784,2.068465981025019e-06
64.0,1.2633126479597285,8.010931840067675e-07,3.5296576873452494,5.082801791787781e-06,-0.16308308132296784,2.1325368343871634e-06
65.0,1.253963238275259,1.9085943595575192e-07,3.5266902185984454,8.337861412133186e-06,-0.1655031516244769,2.086550573976055e-06
66.0,1.244617228659747,-5.839692043082794e-07,3.523723810283451,-6.805858466706006e-06,-0.16795838824455958,2.003349853420015e-06
67.0,1.2352714854857387,-7.105816095258378e-07,3.520760660820039,-2.3583495423519626e-05,-0.1704614221091714,1.9924905152176904e-06
68.0,1.2259239944622176,-1.2271586317696303e-07,3.5177958942584344,-2.5218076373078368e-05,-0.17296163966621858,2.0790736956436384e-06
